Name 1,Name 2,Spanish Description,French Description,German Description,Italian Description,Portuguese Description,Russian Description,Chinese Description,Japanese Description,Arabic Description,Hindi Description
Taylor Swift,Travis Kelce,Una historia de amor tan épica como sus conciertos 🎤🏈,Une romance digne d’un Super Bowl et d’un Grammy 🏈🎤,Ein Touchdown fürs Herz und ein Grammy fürs Leben 🏈🎤,Un touchdown per il cuore e un Grammy per l’anima 🏈🎤,Um touchdown no coração e um Grammy na alma 🏈🎤,Тачдаун в сердце и Грэмми для души 🏈🎤,一场超级碗般的恋爱 🏈🎤,スーパーボウル級の恋愛 🏈🎤,حب من مستوى سوبر بول 🏈🎤,सुपर बाउल जैसा प्यार 🏈🎤
Will Smith,Jada Pinkett Smith,Un matrimonio... de Oscar y drama 🎬🧠,"Mariés dans le drame, un duo de cinéma 🎭💔",Ein Oscar-reifes Drama in Dauerschleife 🎭💔,Un matrimonio da Oscar... e da incubo 🎬💔,Um casamento digno de Oscar... e novela 🎭💔,Брак с Оскаром и драмой в комплекте 🎭💔,奥斯卡级别的婚姻剧 🎭💔,まるで映画のような結婚劇 🎬💔,زواج يستحق الأوسكار... مع الدراما 🎬💔,"ऑस्कर वाली शादी, ड्रामा फ्री नहीं 🎬💔"
Blake Lively,Ryan Reynolds,La pareja más sarcástica de Hollywood 💁‍♀️😏,Le couple le plus sarcastique d’Hollywood 😏💫,Das sarkastischste Paar in ganz Hollywood 😏🎬,La coppia più sarcastica di Hollywood 😏🎭,O casal mais sarcástico de Hollywood 😏🎬,Самая саркастичная пара Голливуда 😏🎬,好莱坞最毒舌的情侣 😏🎬,ハリウッド最強の毒舌カップル 😏🎭,أكثر ثنائي ساخر في هوليوود 😏🎭,हॉलीवुड की सबसे ताना मारने वाली जोड़ी 😏🎭
Johnny Depp,Amber Heard,Cuando el amor y el juicio se mezclan 🎭⚖️,Quand l’amour tourne au procès 🎬⚖️,Wenn Liebe und Gerichtssaal kollidieren ⚖️💔,Amore e tribunale: il mix perfetto? ⚖️💣,Quando o amor vai parar no tribunal ⚖️💣,Любовь с повесткой в суд ⚖️💣,爱情法庭开庭中 ⚖️💣,愛と法廷の激突 ⚖️💣,علاقة دخلت قاعة المحكمة ⚖️💣,इश्क़ और कोर्टरूम की जंग ⚖️💣
Barack Obama,Michelle Obama,Relación presidencialmente perfecta 🇺🇸❤️,"Un amour présidentiel, exemplaire 🇺🇸❤️",Ein Präsidentenpaar mit Herz und Stil 🇺🇸❤️,Una storia d'amore presidenziale 🇺🇸❤️,Um amor presidencial e inspirador 🇺🇸❤️,Президентская история любви 🇺🇸❤️,总统级浪漫 🇺🇸❤️,大統領クラスの愛 🇺🇸❤️,قصة حب رئاسية 🇺🇸❤️,राष्ट्रपति स्तर की मोहब्बत 🇺🇸❤️
Tom Holland,Zendaya,Una pareja de película... y multiverso 🕸️🎥,Un duo venu tout droit du multivers 🕷️🎥,Ein Spinnennetz aus Liebe im Multiversum 🕸️💞,Un bacio nel multiverso 🕸️💞,Beijos em todas as realidades 🕸️💞,Поцелуи во всех вселенных 🕸️💞,多重宇宙的热恋 🕸️💞,マルチバースでの恋 🕸️💞,رومانسية من عالم موازي 🕸️💞,मल्टीवर्स में बना प्यार 🕸️💞
Jay-Z,Beyoncé,Amor al ritmo de un beat millonario 💰🎶,Un match 24 carats 💍🎶,"Gold, Glanz und ganz viel Groove 💰🎶",Una relazione da un miliardo di dollari 💰🎶,Casal bilionário com flow 🔥🎶,Золотая пара рэпа и бизнеса 💰🎶,黄金CP，唱片+亿 💰🎶,億万長者の音楽愛 💰🎶,ثنائي ذهبي يجمع المال والموسيقى 💰🎶,पैसा और संगीत का पावर कपल 💰🎶
Cristiano Ronaldo,Georgina Rodriguez,Golazo al corazón ⚽❤️,Un but marqué en plein cœur ⚽💘,Ein Volltreffer – nicht nur auf dem Platz ⚽❤️,Goal segnato direttamente al cuore ⚽❤️,Goleada de amor ⚽❤️,Гол в сердце ⚽❤️,一脚踢进你的心 ⚽❤️,ゴール直撃の恋 ⚽❤️,هدف في القلب ⚽❤️,दिल में गोल ⚽❤️
Harry Styles,Olivia Wilde,"Estilo, moda y rumores incluidos 🕶️🗞️","Amour, style et tabloïds inclus 🕶️🗞️","Style, Skandale und ein Hauch Chaos 🕶️🗞️","Stile, gossip e amore da copertina 🕶️🗞️","Estilo, drama e paixão de celebridade 🕶️🗞️","Стиль, драма и громкие заголовки 🕶️🗞️",时尚头条情侣 🕶️🗞️,ファッション誌に出そうな恋人達 🕶️🗞️,نجوم الموضة والدراما 🕶️🗞️,स्टाइल और स्कैंडल का मेल 🕶️🗞️
Will Smith,Margot Robbie,Una química tan fuerte que ni Hollywood la entendió 🎥🔥,Une alchimie explosive made in Hollywood 💥🎞️,Hollywood-Flirt mit explosiver Chemie 🎬💥,Chimica esplosiva sul set 🎬🔥,Química de cinema... literalmente 🎬🔥,Голливудская химия на максимум 🎬🔥,银幕上的火花，戏外也炸 🎬🔥,映画よりも燃える関係 🎬🔥,كيمياء مشتعلة داخل وخارج الشاشة 🎬🔥,स्क्रीन से बाहर भी केमिस्ट्री धमाकेदार 🎬🔥
